Investigation Status,Incident Occurred,incident_location,lat,lng,zip_code,RPA,Zone,Location Code,Location Description,Offense Number,Offense NIBRS,Offense Description,Weapon Primary,weapon,number_victims,mapped_location
Closed,10/16/2019 22:00,1900 LEBANON PIKE,36.157,-86.708,37210,9019,513,28,"OTHER, UNKNOWN",1,09A,HOMICIDE,9,PERSONAL (HANDS),1,POINT (-86.708 36.157)
Closed,9/28/2019 18:11,1400 ROSEDALE AVE,36.196,-86.757,37207,1875,221,22,"RESIDENCE, HOME",1,09A,HOMICIDE- CRIMINAL,01S,HANDGUN - SEMIAUTOMATIC,1,POINT (-86.757 36.196)
Open,12/31/2019 23:50,I 65 S,36.18,-86.8,,,,13,"HIGHWAY, ROAD, ALLEY",1,09A,HOMICIDE,5,OTHER FIREARM,1,POINT (-86.8 36.18)
Closed,4/28/2019 6:31,2600 JEFFERSON ST,36.135,-86.887,37208,4523,613,20,"PARKING LOT, GARAGE",1,09A,HOMICIDE,1,HANDGUN,1,POINT (-86.887 36.135)
Closed,11/1/2019 17:30,2500 26TH AVE N,36.19,-86.818,37208,4431,611,20,"PARKING LOT, GARAGE",1,09A,HOMICIDE- CRIMINAL,01S,HANDGUN - SEMIAUTOMATIC,1,POINT (-86.818 36.19)
Open,8/30/2019 23:08,PACKARD DR,36.06,-86.69,,,,90,APARTMENT,1,09A,HOMICIDE,1,HANDGUN,1,POINT (-86.69 36.06)
Closed,8/12/2019 16:54,600 S 7TH ST,36.168,-86.757,37206,1023,211,13,"HIGHWAY, ROAD, ALLEY",1,09A,HOMICIDE,1,HANDGUN,1,POINT (-86.757 36.168)
Closed,4/2/2019 21:00,4600 BROOKE VALLEY DR,36.177,-86.587,37076,9539,523,13,"HIGHWAY, ROAD, ALLEY",1,09A,HOMICIDE,2,RIFLE,1,POINT (-86.587 36.177)
Open,9/24/2019 23:12,BRICK CHURCH PIKE,36.2,-86.78,,,,13,"HIGHWAY, ROAD, ALLEY",1,09A,HOMICIDE- CRIMINAL,1,HANDGUN,1,POINT (-86.78 36.2)
Closed,9/11/2019 22:10,700 S 7TH ST,36.167,-86.756,37206,1021,211,13,"HIGHWAY, ROAD, ALLEY",1,09A,HOMICIDE,1,HANDGUN,1,POINT (-86.756 36.167)
Open,4/10/2019 18:11,VILLAGE GREEN DR,36.09,-86.63,,,,22,"RESIDENCE, HOME",1,09A,HOMICIDE- CRIMINAL,2,RIFLE,1,POINT (-86.63 36.09)
Open,11/14/2019 17:28,ELYSIAN FIELDS CT,36.09,-86.73,,,,12,"GROCERY, SUPERMARKET",1,09A,HOMICIDE,1,HANDGUN,1,POINT (-86.73 36.09)
Closed,12/21/2019 2:52,DIVISION ST & LYLE AVE,36.139,-86.801,37203,6711,811,13,"HIGHWAY, ROAD, ALLEY",1,09A,HOMICIDE,6,LETHAL/CUTTING INSTRUMENT,1,POINT (-86.801 36.139)
Closed,7/26/2019 16:17,2300 25TH AVE N,36.188,-86.817,37208,4487,611,22,"RESIDENCE, HOME",1,09A,HOMICIDE,1,HANDGUN,1,POINT (-86.817 36.188)
Open,10/13/2019 11:00,JOHN A MERRITT BLVD,36.17,-86.83,,,,22,"RESIDENCE, HOME",1,09A,HOMICIDE- CRIMINAL,5,OTHER FIREARM,1,POINT (-86.83 36.17)
Closed,12/21/2019 2:52,DIVISION ST & LYLE AVE,36.139,-86.801,37203,6711,811,13,"HIGHWAY, ROAD, ALLEY",1,09A,HOMICIDE,6,LETHAL/CUTTING INSTRUMENT,2,POINT (-86.801 36.139)
Closed,12/17/2019 21:45,900 FAIRWIN AVE,36.2,-86.748,37216,1879,227,22,"RESIDENCE, HOME",1,09A,HOMICIDE- CRIMINAL,01S,HANDGUN - SEMIAUTOMATIC,1,POINT (-86.748 36.2)
Open,6/20/2019 7:55,OLD HICKORY BLVD,36.04,-86.61,,,,13,"HIGHWAY, ROAD, ALLEY",1,09A,HOMICIDE,6,LETHAL/CUTTING INSTRUMENT,1,POINT (-86.61 36.04)
Closed,8/23/2019 22:28,3200 BLACKWOOD DR,36.151,-86.628,37214,8955,533,3,"BAR, NIGHT CLUB",1,09A,HOMICIDE,9,PERSONAL (HANDS),1,POINT (-86.628 36.151)
Closed,12/30/2019 11:44,300 SUSANNAH CT,36.147,-86.832,37209,5235,113,20,"PARKING LOT, GARAGE",1,09A,HOMICIDE- CRIMINAL,01S,HANDGUN - SEMIAUTOMATIC,1,POINT (-86.832 36.147)
Open,10/27/2019 1:00,BUENA VISTA PIKE,36.2,-86.82,,,,90,APARTMENT,1,09A,HOMICIDE- CRIMINAL,1,HANDGUN,1,POINT (-86.82 36.2)
Closed,7/17/2019 3:55,400 MONACO DR,36.207,-86.614,37076,9719,523,22,"RESIDENCE, HOME",1,09A,HOMICIDE- CRIMINAL,1,HANDGUN,1,POINT (-86.614 36.207)
Closed,12/23/2019 5:30,400 DR MARTIN L KING JR BLVD,36.167,-86.781,37219,,,20,"PARKING LOT, GARAGE",1,09A,HOMICIDE,7,CLUB,1,POINT (-86.781 36.167)
Closed,1/17/2019 22:05,600 S 10TH ST,36.17,-86.752,37206,1031,213,22,"RESIDENCE, HOME",1,09A,HOMICIDE- CRIMINAL,6,LETHAL/CUTTING INSTRUMENT,1,POINT (-86.752 36.17)
Closed,1/21/2019 23:00,1300 NEELYS BEND RD,36.241,-86.674,37115,1617,713,90,APARTMENT,1,09A,HOMICIDE,6,LETHAL/CUTTING INSTRUMENT,1,POINT (-86.674 36.241)
Open,7/23/2019 22:19,BRIDGEWAY CIR,36.1,-86.71,,,,90,APARTMENT,1,09A,HOMICIDE,1,HANDGUN,1,POINT (-86.71 36.1)
Open,2/7/2019 21:32,9TH AVE N,36.18,-86.8,,,,90,APARTMENT,1,09A,HOMICIDE,01S,HANDGUN - SEMIAUTOMATIC,1,POINT (-86.8 36.18)
Closed,8/7/2019 9:30,600 MCMURRAY DR,36.054,-86.727,37211,8653,835,22,"RESIDENCE, HOME",1,09A,HOMICIDE,14,ASPHYXIATION,1,POINT (-86.727 36.054)
Closed,2/4/2019 1:18,1600 DELTA AVE,36.18,-86.799,37208,4347,617,13,"HIGHWAY, ROAD, ALLEY",1,09A,HOMICIDE,9,PERSONAL (HANDS),1,POINT (-86.799 36.18)
Closed,10/21/2019 7:05,1100 MURFREESBORO PIKE,36.127,-86.711,37217,8817,531,7,CONVENIENCE STORE,1,09A,HOMICIDE,6,LETHAL/CUTTING INSTRUMENT,1,POINT (-86.711 36.127)
Closed,11/7/2019 18:52,2000 ED TEMPLE BLVD,36.187,-86.822,37208,4425,611,90,APARTMENT,1,09A,HOMICIDE- CRIMINAL,1,HANDGUN,1,POINT (-86.822 36.187)
Closed,7/24/2019 20:29,2800 JOHN A MERRITT BLVD,36.168,-86.821,37209,4521,613,20,"PARKING LOT, GARAGE",1,09A,HOMICIDE,1,HANDGUN,1,POINT (-86.821 36.168)
Open,10/10/2019 1:06,CREEKWOOD DR,36.24,-86.77,,,,90,APARTMENT,1,09A,HOMICIDE- CRIMINAL,1,HANDGUN,1,POINT (-86.77 36.24)
Closed,6/25/2019 13:48,1900 SALEM MASON DR,36.183,-86.82,37208,4423,611,13,"HIGHWAY, ROAD, ALLEY",1,09A,HOMICIDE- CRIMINAL,1,HANDGUN,1,POINT (-86.82 36.183)
Closed,7/16/2019 1:28,17TH AVE N & COCKRILL ST,36.175,-86.807,37208,4475,613,13,"HIGHWAY, ROAD, ALLEY",1,09A,HOMICIDE- CRIMINAL,1,HANDGUN,1,POINT (-86.807 36.175)
Closed,8/31/2019 23:45,1400 KELLOW ST,36.19,-86.811,37208,4493,611,13,"HIGHWAY, ROAD, ALLEY",1,09A,HOMICIDE,1,HANDGUN,1,POINT (-86.811 36.19)
Closed,6/19/2019 4:20,5300 HICKORY HOLLOW LN,36.049,-86.652,37013,8863,333,20,"PARKING LOT, GARAGE",1,09A,HOMICIDE,1,HANDGUN,1,POINT (-86.652 36.049)
Open,8/4/2019 20:40,16TH AVE N,36.18,-86.81,,,,13,"HIGHWAY, ROAD, ALLEY",1,09A,HOMICIDE,2,RIFLE,1,POINT (-86.81 36.18)
Closed,9/18/2019 15:08,100 N GALLATIN PIKE,36.263,-86.712,37115,1763,723,20,"PARKING LOT, GARAGE",1,09A,HOMICIDE,1,HANDGUN,1,POINT (-86.712 36.263)
Open,7/24/2019 21:27,HARDING PL,36.08,-86.76,,,,22,"RESIDENCE, HOME",1,09A,HOMICIDE- CRIMINAL,01A,,1,POINT (-86.76 36.08)
Closed,9/8/2019 19:20,5800 MAUDINA AVE,36.144,-86.862,37209,5025,115,20,"PARKING LOT, GARAGE",1,09A,HOMICIDE,1,HANDGUN,1,POINT (-86.862 36.144)
Closed,9/4/2019 16:30,2600 BETHWOOD DR,36.218,-86.763,37207,1887,223,13,"HIGHWAY, ROAD, ALLEY",1,09A,HOMICIDE,6,LETHAL/CUTTING INSTRUMENT,1,POINT (-86.763 36.218)
Open,6/30/2019 18:00,ELM ST,36.15,-86.77,,,,4,"CHURCH, SYNAGOGUE, TEMPLE",1,09A,HOMICIDE- CRIMINAL,14,ASPHYXIATION,1,POINT (-86.77 36.15)
Open,9/14/2019 18:57,FATHERLAND ST,36.17,-86.73,,,,19,PARK,1,09A,HOMICIDE,5,OTHER FIREARM,1,POINT (-86.73 36.17)
Closed,12/12/2019 19:30,1000 EDGEHILL AVE,36.142,-86.784,37203,6909,821,20,"PARKING LOT, GARAGE",1,09A,HOMICIDE- CRIMINAL,01S,HANDGUN - SEMIAUTOMATIC,1,POINT (-86.784 36.142)
Closed,4/18/2019 1:06,400 HARDING PL,36.085,-86.704,37211,8705,321,7,CONVENIENCE STORE,1,09A,HOMICIDE- CRIMINAL,1,HANDGUN,1,POINT (-86.704 36.085)
Open,5/26/2019 0:00,STERRY CT,36.05,-86.7,,,,22,"RESIDENCE, HOME",1,09A,HOMICIDE,1,HANDGUN,1,POINT (-86.7 36.05)
Closed,6/21/2019 15:27,200 CHEROKEE RD,36.136,-86.842,37205,5111,113,22,"RESIDENCE, HOME",1,09A,HOMICIDE- CRIMINAL,6,LETHAL/CUTTING INSTRUMENT,1,POINT (-86.842 36.136)
Closed,12/3/2019 19:30,500 S GALLATIN PIKE,36.258,-86.714,37115,1605,713,5,"COMMERCIAL, OFFICE BUILDING",1,09A,HOMICIDE- CRIMINAL,16,Unarmed,1,POINT (-86.714 36.258)
Closed,10/27/2019 15:00,1400 BRICK CHURCH PIKE,36.204,-86.777,37207,3007,621,14,"HOTEL, MOTEL, ETC.",1,09A,HOMICIDE- CRIMINAL,01S,HANDGUN - SEMIAUTOMATIC,1,POINT (-86.777 36.204)
Closed,10/17/2019 14:55,2200 MORENA ST,36.165,-86.81,37208,5351,615,13,"HIGHWAY, ROAD, ALLEY",1,09A,HOMICIDE- CRIMINAL,01S,HANDGUN - SEMIAUTOMATIC,1,POINT (-86.81 36.165)
Closed,12/15/2019 6:03,1700 22ND AVE N,36.178,-86.813,37208,4459,613,22,"RESIDENCE, HOME",1,09A,HOMICIDE,6,LETHAL/CUTTING INSTRUMENT,1,POINT (-86.813 36.178)
Open,1/28/2019 0:00,MURFREESBORO PIKE,36.13,-86.72,,,,20,"PARKING LOT, GARAGE",2,09A,HOMICIDE,1,HANDGUN,2,POINT (-86.72 36.13)
Open,11/4/2019 15:20,25TH AVE N,36.18,-86.82,,,,13,"HIGHWAY, ROAD, ALLEY",1,09A,HOMICIDE- CRIMINAL,01S,HANDGUN - SEMIAUTOMATIC,1,POINT (-86.82 36.18)
Open,11/17/2019 17:07,JEFFERSON ST,36.17,-86.8,,,,20,"PARKING LOT, GARAGE",1,09A,HOMICIDE,1,HANDGUN,1,POINT (-86.8 36.17)
Open,10/26/2019 19:49,CLARE AVE,36.16,-86.82,,,,22,"RESIDENCE, HOME",1,09A,HOMICIDE- CRIMINAL,6,LETHAL/CUTTING INSTRUMENT,1,POINT (-86.82 36.16)
Open,6/19/2019 23:41,LEMONT DR,36.23,-86.74,,,,20,"PARKING LOT, GARAGE",1,09A,HOMICIDE,1,HANDGUN,1,POINT (-86.74 36.23)
Open,2/5/2019 20:57,GLENGARRY DR,36.12,-86.7,,,,13,"HIGHWAY, ROAD, ALLEY",1,09A,HOMICIDE,1,HANDGUN,1,POINT (-86.7 36.12)
Open,7/6/2019 20:28,JEFFERSON ST,36.17,-86.8,,,,20,"PARKING LOT, GARAGE",1,09A,HOMICIDE- CRIMINAL,1,HANDGUN,1,POINT (-86.8 36.17)
Closed,4/8/2019 20:55,200 LEMONT DR,36.225,-86.744,37216,1813,225,22,"RESIDENCE, HOME",1,09A,HOMICIDE,1,HANDGUN,1,POINT (-86.744 36.225)
Closed,7/8/2019 19:23,3100 EWINGWOOD DR,36.235,-86.791,37207,3029,621,22,"RESIDENCE, HOME",1,09A,HOMICIDE- CRIMINAL,1,HANDGUN,1,POINT (-86.791 36.235)
Closed,4/23/2019 17:04,200 STAR BLVD,36.284,-86.72,37115,1739,727,90,APARTMENT,1,09A,HOMICIDE- CRIMINAL,1,HANDGUN,1,POINT (-86.72 36.284)
Closed,3/1/2019 1:55,100 N 1ST ST,36.171,-86.773,37213,1993,413,10,"FIELD, WOODS",1,09A,HOMICIDE- CRIMINAL,1,HANDGUN,1,POINT (-86.773 36.171)
Closed,6/30/2019 2:15,1400 PRINCETON PL,36.173,-86.603,37076,9529,521,14,"HOTEL, MOTEL, ETC.",1,09A,HOMICIDE- CRIMINAL,1,HANDGUN,1,POINT (-86.603 36.173)
Closed,6/22/2019 3:07,200  COMMERCE ST,36.163,-86.776,37201,4103,421,13,"HIGHWAY, ROAD, ALLEY",1,09A,HOMICIDE- CRIMINAL,9,PERSONAL (HANDS),1,POINT (-86.776 36.163)
Closed,2/7/2019 12:12,3200 TORBETT ST,36.159,-86.824,37209,4579,613,22,"RESIDENCE, HOME",1,09A,HOMICIDE- CRIMINAL,1,HANDGUN,1,POINT (-86.824 36.159)
Closed,3/12/2019 20:23,3500 CHESAPEAKE DR,36.246,-86.777,37207,2033,721,22,"RESIDENCE, HOME",1,09A,HOMICIDE,1,HANDGUN,1,POINT (-86.777 36.246)
Closed,3/15/2019 23:00,17TH AVE N & HAYES ST,36.155,-86.795,37203,5521,811,13,"HIGHWAY, ROAD, ALLEY",1,09A,HOMICIDE- CRIMINAL,01S,HANDGUN - SEMIAUTOMATIC,1,POINT (-86.795 36.155)
Open,6/19/2019 4:20,LAFAYETTE ST,36.15,-86.76,,,,13,"HIGHWAY, ROAD, ALLEY",1,09A,HOMICIDE- CRIMINAL,1,HANDGUN,1,POINT (-86.76 36.15)
Open,12/28/2019 1:50,PLUS PARK BLVD,36.13,-86.73,,,,90,APARTMENT,1,09A,HOMICIDE,1,HANDGUN,1,POINT (-86.73 36.13)
Closed,6/15/2019 16:07,1600 23RD AVE N,36.175,-86.813,37208,4467,613,13,"HIGHWAY, ROAD, ALLEY",1,09A,HOMICIDE- CRIMINAL,1,HANDGUN,1,POINT (-86.813 36.175)
Open,10/11/2019 2:35,BUENA VISTA PIKE,36.23,-86.82,,,,22,"RESIDENCE, HOME",1,09A,HOMICIDE- CRIMINAL,1,HANDGUN,1,POINT (-86.82 36.23)
Closed,12/30/2019 12:45,2300 ALAMEDA ST,36.167,-86.811,37208,5351,615,90,APARTMENT,1,09A,HOMICIDE,12,FIRE/INCENDIARY DEVICES,1,POINT (-86.811 36.167)
Closed,11/25/2019 16:20,800 ALLOWAY ST,36.137,-86.778,37203,6941,821,13,"HIGHWAY, ROAD, ALLEY",1,09A,HOMICIDE- CRIMINAL,01S,HANDGUN - SEMIAUTOMATIC,1,POINT (-86.778 36.137)
Closed,10/19/2019 7:30,6300 WILDGROVE DR,36.031,-86.581,37013,8967,335,22,"RESIDENCE, HOME",1,09A,HOMICIDE,6,LETHAL/CUTTING INSTRUMENT,1,POINT (-86.581 36.031)
